Transaction Date,Amount,Clean Vendor,Category,Description/Memo,source_row_id
,-947.0,Chipotle,Software & Technology,Transaction 25 - Business expense,24
,-912.92,Apple,Professional Services,Transaction 163 - Equipment purchase,162
,-887.37,Airbnb,Travel & Transportation,Transaction 182 - Team lunch,181
,-729.4,Budget,Travel & Transportation,Transaction 12 - Team lunch,11
,-266.1,AT&T,Travel & Transportation,Transaction 193 - Monthly subscription,192
,-114.97,Target,Office Supplies & Equipment,Transaction 122 - Business expense,121
,0.0,Hertz,Software & Technology,Transaction 14 - Equipment purchase,13
,0.0,[Vendor Missing],Travel & Transportation,Transaction 24 - Team lunch,23
,0.0,Salesforce,Software & Technology,Transaction 42 - Business expense,41
,0.0,Safeway,Meals & Entertainment,Transaction 52 - Office supplies,51
,0.0,Mcdonald's,Software & Technology,Transaction 64 - Team lunch,63
,0.0,Netflix,Office Supplies & Equipment,Transaction 100 - Equipment purchase,99
,0.0,Domino's,Meals & Entertainment,Transaction 101 - Monthly subscription,100
,0.0,Google,Meals & Entertainment,Transaction 102 - Equipment purchase,101
,0.0,Netflix,Meals & Entertainment,Transaction 113 - Office supplies,112
,0.0,Salesforce,Office Supplies & Equipment,Transaction 131 - Office supplies,130
,0.0,Salesforce,Travel & Transportation,Transaction 137 - Client meeting,136
,0.0,Domino's,Professional Services,Transaction 143 - Client meeting,142
,0.0,[Vendor Missing],Utilities & Rent,Transaction 154 - Monthly subscription,153
,0.0,Adobe,Travel & Transportation,Transaction 177 - Equipment purchase,176
,0.0,Airbnb,Meals & Entertainment,Transaction 188 - Office supplies,187
,0.0,[Vendor Missing],Meals & Entertainment,Transaction 206 - Office supplies,205
,4.54,Verizon,Office Supplies & Equipment,Transaction 55 - Equipment purchase,54
,8.82,[Vendor Missing],Office Supplies & Equipment,Transaction 51 - Team lunch,50
,14.66,Safeway,Meals & Entertainment,Transaction 145 - Office supplies,144
,15.13,Safeway,Software & Technology,Transaction 119 - Team lunch,118
,15.85,Starbucks,Meals & Entertainment,Transaction 192 - Office supplies,191
,19.72,AT&T,Software & Technology,Transaction 221 - Team lunch,220
,26.0,Lyft,Travel & Transportation,Transaction 179 - Monthly subscription,178
,27.23,Adobe,Professional Services,Transaction 209 - Equipment purchase,208
,38.71,Domino's,Travel & Transportation,Transaction 246 - Monthly subscription,245
,42.79,Airbnb,Travel & Transportation,Transaction 58 - Business expense,57
,46.37,Hertz,Travel & Transportation,Transaction 217 - Monthly subscription,216
,53.03,Uber,Travel & Transportation,Transaction 97 - Office supplies,96
,61.17,Costco,Banking & Finance,Transaction 126 - Business expense,125
,61.76,Walgreens,Travel & Transportation,Transaction 196 - Client meeting,195
,66.85,Budget,Travel & Transportation,Transaction 239 - Client meeting,238
,68.07,[Vendor Missing],Utilities & Rent,Transaction 203 - Business expense,202
,69.54,Chevron,Travel & Transportation,Transaction 189 - Office supplies,188
,70.9,Apple,Meals & Entertainment,Transaction 70 - Team lunch,69
