Amount,Category,Clean Vendor,Description/Memo,Transaction Date,category,standardized_vendor
797.46,Software & Technology,Microsoft,Annual platform fee,2023-10-07,Software & Technology,Microsoft
396.0,Software & Technology,Dropbox,Equipment purchase,2023-10-07,Software & Technology,Dropbox
884.41,Travel & Transportation,Budget,Client meeting,2023-04-21,Travel & Transportation,Budget
73.45,Software & Technology,Salesforce,Annual platform fee,2023-10-02,Software & Technology,Salesforce
2348.3,Travel & Transportation,Enterprise Rent-a-car,Equipment purchase,2023-02-05,Travel & Transportation,Enterprise Rent-a-car
229.29,Other,Quantacore,Office supplies,2023-07-06,Other,Quantacore
614.83,Meals & Entertainment,Pizza Hut,Hardware services,2023-05-06,Meals & Entertainment,Pizza Hut
2647.21,Meals & Entertainment,Starbucks,Annual platform fee,2023-01-17,Meals & Entertainment,Starbucks
855.09,Travel & Transportation,Delta Airlines,Team lunch,2023-07-22,Travel & Transportation,Delta Airlines
928.41,Travel & Transportation,Southwest Airlines,Equipment purchase,2023-07-24,Travel & Transportation,Southwest Airlines
2163.09,Other,Nimblyx,Client meeting,2023-12-15,Other,Nimblyx
-482.45,Travel & Transportation,Airbnb,Business expense,2023-02-28,Travel & Transportation,Airbnb
1007.52,Other,Square,Client meeting,2023-09-14,Other,Square
40.76,Other,Arcadiaworks,Monthly subscription,2023-10-04,Other,Arcadiaworks
2675.48,Banking & Finance,Chase Bank,Client meeting,2023-05-04,Banking & Finance,Chase Bank
470.05,Banking & Finance,Chase Bank,Team lunch,2023-09-01,Banking & Finance,Chase Bank
854.29,Travel & Transportation,Airbnb,Hardware services,2023-11-29,Travel & Transportation,Airbnb
600.46,Other,Neopeak,Monthly subscription,2023-01-04,Other,Neopeak
70.66,Software & Technology,Adobe,Hardware services,2023-03-09,Software & Technology,Adobe
729.82,Banking & Finance,Wells Fargo,Client meeting,2023-08-28,Banking & Finance,Wells Fargo
46.0,Office Supplies & Equipment,Costco,Hardware services,2023-04-04,Office Supplies & Equipment,Costco
382.82,Software & Technology,Apple,Client meeting,2023-10-04,Software & Technology,Apple
2377.26,Other,Square,Annual platform fee,2023-07-14,Other,Square
1270.91,Banking & Finance,Bank Of America,Business expense,2023-03-21,Banking & Finance,Bank Of America
854.8,Office Supplies & Equipment,Amazon,Team lunch,2023-09-02,Office Supplies & Equipment,Amazon
826.13,Banking & Finance,American Express,Monthly subscription,2023-10-19,Banking & Finance,American Express
145.82,Meals & Entertainment,Safeway,Business expense,2023-06-10,Meals & Entertainment,Safeway
-1413.4,Meals & Entertainment,Pizza Hut,Client meeting,2023-11-15,Meals & Entertainment,Pizza Hut
14.47,Travel & Transportation,Delta Airlines,Business expense,2023-03-22,Travel & Transportation,Delta Airlines
409.13,Meals & Entertainment,Domino's,Client meeting,2023-10-03,Meals & Entertainment,Domino's
862.75,Other,Square,Hardware services,2023-05-16,Other,Square
8.5,Office Supplies & Equipment,Amazon,Team lunch,2023-11-23,Office Supplies & Equipment,Amazon
11.33,Utilities & Rent,Comcast,Monthly subscription,2023-03-18,Utilities & Rent,Comcast
9.42,Other,Tridelic,Equipment purchase,2023-01-21,Other,Tridelic
280.57,Meals & Entertainment,Pizza Hut,Team lunch,2023-05-02,Meals & Entertainment,Pizza Hut
267.92,Other,Square,Team lunch,2023-08-05,Other,Square
41.4,Other,Quantacore,Equipment purchase,2023-06-29,Other,Quantacore
1167.17,Meals & Entertainment,Pizza Hut,Office supplies,2023-07-24,Meals & Entertainment,Pizza Hut
8.82,Other,Quantacore,Client meeting,2023-06-10,Other,Quantacore
10.05,Travel & Transportation,Hilton Hotels,Office supplies,2023-12-18,Travel & Transportation,Hilton Hotels
823.05,Meals & Entertainment,Pizza Hut,Business expense,2023-06-03,Meals & Entertainment,Pizza Hut
44.41,Office Supplies & Equipment,Target,Business expense,2023-12-13,Office Supplies & Equipment,Target
353.34,Software & Technology,Google,Team lunch,2023-09-19,Software & Technology,Google
113.26,Travel & Transportation,Enterprise Rent-a-car,Equipment purchase,2023-01-05,Travel & Transportation,Enterprise Rent-a-car
652.9,Other,Nimblyx,Equipment purchase,2023-08-01,Other,Nimblyx
1385.17,Office Supplies & Equipment,Staples,Team lunch,2023-08-06,Office Supplies & Equipment,Staples
2171.7,Other,Solaranine,Office supplies,2023-08-26,Other,Solaranine
425.76,Other,Neopeak,Hardware services,2023-08-17,Other,Neopeak
686.94,Travel & Transportation,Southwest Airlines,Equipment purchase,2024-01-01,Travel & Transportation,Southwest Airlines
43.9,Office Supplies & Equipment,Target,Annual platform fee,2023-04-20,Office Supplies & Equipment,Target
275.48,Utilities & Rent,AT&T,Annual platform fee,2023-12-23,Utilities & Rent,AT&T
2390.48,Office Supplies & Equipment,Home Depot,Equipment purchase,2023-10-07,Office Supplies & Equipment,Home Depot
785.29,Travel & Transportation,Budget,Team lunch,2023-03-26,Travel & Transportation,Budget
639.51,Other,Square,Team lunch,2023-03-11,Other,Square
139.11,Office Supplies & Equipment,Staples,Client meeting,2023-04-08,Office Supplies & Equipment,Staples
-1421.48,Utilities & Rent,AT&T,Equipment purchase,2023-01-16,Utilities & Rent,AT&T
13.24,Other,Tridelic,Office supplies,2023-12-25,Other,Tridelic
1369.74,Travel & Transportation,Airbnb,Monthly subscription,2023-02-25,Travel & Transportation,Airbnb
278.18,Other,Tridelic,Client meeting,2023-10-31,Other,Tridelic
14.14,Office Supplies & Equipment,Walmart,Annual platform fee,2023-01-22,Office Supplies & Equipment,Walmart
2391.24,Software & Technology,Apple,Hardware services,2023-10-08,Software & Technology,Apple
69.59,Professional Services,CVS Pharmacy,Annual platform fee,2023-09-05,Professional Services,CVS Pharmacy
12.13,Other,Tridelic,Annual platform fee,2023-08-26,Other,Tridelic
140.53,Banking & Finance,Chase Bank,Monthly subscription,2023-02-11,Banking & Finance,Chase Bank
469.05,Travel & Transportation,Lyft,Hardware services,2023-11-27,Travel & Transportation,Lyft
70.56,Other,Square,Office supplies,2023-10-11,Other,Square
63.35,Utilities & Rent,Comcast,Client meeting,2023-09-04,Utilities & Rent,Comcast
929.76,Travel & Transportation,Uber,Client meeting,2023-02-11,Travel & Transportation,Uber
914.7,Other,Arcadiaworks,Business expense,2023-01-28,Other,Arcadiaworks
14.44,Software & Technology,Zoom,Hardware services,2023-08-29,Software & Technology,Zoom
245.04,Office Supplies & Equipment,Amazon,Team lunch,2023-12-18,Office Supplies & Equipment,Amazon
13.22,Travel & Transportation,Hilton Hotels,Equipment purchase,2023-11-02,Travel & Transportation,Hilton Hotels
2515.07,Other,Kitewave,Monthly subscription,2023-10-19,Other,Kitewave
70.49,Software & Technology,Salesforce,Client meeting,2023-03-30,Software & Technology,Salesforce
57.82,Meals & Entertainment,Safeway,Client meeting,2023-05-25,Meals & Entertainment,Safeway
813.18,Travel & Transportation,Hertz,Equipment purchase,2023-02-28,Travel & Transportation,Hertz
1177.85,Travel & Transportation,Budget,Hardware services,2023-10-19,Travel & Transportation,Budget
440.55,Office Supplies & Equipment,Walmart,Annual platform fee,2023-11-03,Office Supplies & Equipment,Walmart
1314.61,Travel & Transportation,Airbnb,Hardware services,2023-01-21,Travel & Transportation,Airbnb
815.5,Professional Services,Walgreens,Annual platform fee,2023-08-29,Professional Services,Walgreens
904.2,Meals & Entertainment,Pizza Hut,Monthly subscription,2023-07-25,Meals & Entertainment,Pizza Hut
272.54,Office Supplies & Equipment,Target,Hardware services,2023-01-01,Office Supplies & Equipment,Target
373.15,Travel & Transportation,Lyft,Team lunch,2023-04-15,Travel & Transportation,Lyft
11.41,Other,Neopeak,Business expense,2023-05-03,Other,Neopeak
407.85,Utilities & Rent,Comcast,Business expense,2023-03-20,Utilities & Rent,Comcast
331.97,Travel & Transportation,Budget,Team lunch,2023-07-16,Travel & Transportation,Budget
145.81,Other,Arcadiaworks,Business expense,2023-02-01,Other,Arcadiaworks
23.37,Other,Tridelic,Annual platform fee,2023-06-20,Other,Tridelic
46.48,Office Supplies & Equipment,Target,Office supplies,2023-07-30,Office Supplies & Equipment,Target
2561.73,Office Supplies & Equipment,Staples,Office supplies,2023-01-19,Office Supplies & Equipment,Staples
272.99,Other,Square,Business expense,2023-02-08,Other,Square
2578.15,Meals & Entertainment,Whole Foods,Monthly subscription,2023-06-12,Meals & Entertainment,Whole Foods
48.87,Travel & Transportation,Southwest Airlines,Hardware services,2023-02-20,Travel & Transportation,Southwest Airlines
64.39,Office Supplies & Equipment,Walmart,Annual platform fee,2023-05-06,Office Supplies & Equipment,Walmart
254.47,Travel & Transportation,Uber,Equipment purchase,2023-10-26,Travel & Transportation,Uber
1236.97,Travel & Transportation,Hertz,Client meeting,2023-10-07,Travel & Transportation,Hertz
837.55,Office Supplies & Equipment,Home Depot,Hardware services,2023-04-12,Office Supplies & Equipment,Home Depot
849.81,Office Supplies & Equipment,Staples,Business expense,2023-12-04,Office Supplies & Equipment,Staples
2747.05,Office Supplies & Equipment,Amazon,Office supplies,2023-04-28,Office Supplies & Equipment,Amazon
978.08,Travel & Transportation,Lyft,Monthly subscription,2023-03-12,Travel & Transportation,Lyft
14.59,Professional Services,Walgreens,Equipment purchase,2023-08-01,Professional Services,Walgreens
489.33,Utilities & Rent,AT&T,Business expense,2023-05-12,Utilities & Rent,AT&T
11.59,Office Supplies & Equipment,Costco,Office supplies,2023-12-13,Office Supplies & Equipment,Costco
800.91,Meals & Entertainment,Whole Foods,Client meeting,2023-07-15,Meals & Entertainment,Whole Foods
541.51,Banking & Finance,Wells Fargo,Annual platform fee,2023-08-26,Banking & Finance,Wells Fargo
